"Name","Value"
"I(log(GVT_HOUSING_AMEN_PC) * log(GVT_SOCIAL_PROTECTION_PC))",-0.0350094500957525
"I(log(GVT_HOUSING_AMEN_PC) * log(GVT_OTHER_PC))",-0.0266290550533488
"I(log(GVT_HOUSING_AMEN_PC) * log(GVT_TRANSPORT_PC))",-0.0164279601890532
"I(log(GVT_SOCIAL_PROTECTION_PC) * log(GVT_OTHER_PC))",0.183385833147115
"I(log(GVT_SOCIAL_PROTECTION_PC) * log(GVT_TRANSPORT_PC))",-0.0246241415859495
"I(log(GVT_OTHER_PC) * log(GVT_TRANSPORT_PC))",0.0305478181257639
"log(CV_GDP)",-0.032484418772084
"Z_CV_CC",1.55182230102208e-06
"Z_CV_GE",-9.11468603240404e-08
"Z_factor(Country_name)Afghanistan",2.53592539771482e-08
"Z_factor(Country_name)Azerbaijan",-3.6163100175562e-09
"Z_factor(Country_name)Belize",-4.45286810268586e-08
"Z_factor(Country_name)Bolivia (Plurinational State of)",-2.5877732479966e-08
"Z_factor(Country_name)China",-6.88923676920264e-09
"Z_factor(Country_name)Costa Rica",3.84211120099902e-09
"Z_factor(Country_name)Ecuador",3.23570263782887e-09
"Z_factor(Country_name)Egypt",1.10130203492426e-09
"Z_factor(Country_name)El Salvador",-2.16231265435502e-08
"Z_factor(Country_name)Guatemala",8.68254316251329e-08
"Z_factor(Country_name)Honduras",5.73863753642095e-09
"Z_factor(Country_name)Jamaica",-3.66726992044221e-08
"Z_factor(Country_name)Kuwait",-1.8275232132039e-08
"Z_factor(Country_name)Kyrgyzstan",-1.94640288385721e-08
"Z_factor(Country_name)Mexico",4.62617359073958e-10
"Z_factor(Country_name)Myanmar",-1.1640671534264e-08
"Z_factor(Country_name)Nepal",-1.38735775223601e-08
"Z_factor(Country_name)Panama",1.13608914523372e-08
"Z_factor(Country_name)Singapore",-5.35700038120061e-10
"Z_factor(Country_name)South Africa",7.99900034097464e-08
"Z_factor(Country_name)Thailand",-1.7240517016963e-08
"Z_factor(Country_name)Türkiye",1.21904211745743e-08
"Z_factor(Country_name)Uruguay",-1.25867141476295e-08
"sigmaSq",0.0311957091904776
"gamma",0.0499999935619271
