"Variable","Estimate","Std_Error","z_value","p_value","Significance"
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_HOUSING_AMEN_PC))",0.132826731566474,0.289429155323144,0.45892657710373,0.646286892717501,""
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_SOCIAL_PROTECTION_PC))",-0.0351536902572038,0.21290684917262,-0.165113007842702,0.868855034757613,""
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_OTHER_PC))",-0.00747337444990673,0.337553932687221,-0.0221397937521042,0.982336443423254,""
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_TRANSPORT_PC))",-0.087240630749597,0.263365901482815,-0.331252566328483,0.740453717130731,""
"I(log(GVT_EDUCATION_PC) * log(GVT_ENERGY_PC))",0.0610951433390651,0.157007958957811,0.389121314260773,0.697186407074364,""
"I(log(GVT_EDUCATION_PC) * log(GVT_ENV_PROTECTION_PC))",0.0670087278539454,0.271473461433832,0.246833438156451,0.80503713109601,""
"I(log(GVT_EDUCATION_PC) * log(GVT_HEALTH_PC))",-0.243089743761189,0.58662437253227,-0.414387391904377,0.678590421033376,""
"I(log(GVT_EDUCATION_PC) * log(GVT_HOUSING_AMEN_PC))",-0.0845184021594322,0.383501143640558,-0.220386310604196,0.825570305892852,""
"I(log(GVT_EDUCATION_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.016604479720107,0.311359936396873,0.0533288897481732,0.957469862256048,""
"I(log(GVT_EDUCATION_PC) * log(GVT_OTHER_PC))",-0.366573741086144,0.520140412796084,-0.704759199762191,0.480960103236246,""
"I(log(GVT_EDUCATION_PC) * log(GVT_TRANSPORT_PC))",-0.834754473835457,0.423133071715764,-1.97279420975205,0.0485190131376743,"*"
"I(log(GVT_ENERGY_PC) * log(GVT_ENV_PROTECTION_PC))",0.0114189337476388,0.0189505721424996,0.602564063067528,0.546798733356637,""
"I(log(GVT_ENERGY_PC) * log(GVT_HEALTH_PC))",0.0308628850703444,0.110907825610638,0.278275089250186,0.780801197095545,""
"I(log(GVT_ENERGY_PC) * log(GVT_HOUSING_AMEN_PC))",-0.0763267378194586,0.0474300936886241,-1.60924703882179,0.107562334558658,""
"I(log(GVT_ENERGY_PC) * log(GVT_SOCIAL_PROTECTION_PC))",-0.0492395294973672,0.0358809247643274,-1.37230380266901,0.169968882346937,""
"I(log(GVT_ENERGY_PC) * log(GVT_OTHER_PC))",-0.00333916468516995,0.101413740724161,-0.0329261563701932,0.973733474333882,""
"I(log(GVT_ENERGY_PC) * log(GVT_TRANSPORT_PC))",0.0164181420191602,0.0422559155404321,0.388540676711895,0.69761595812112,""
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_HEALTH_PC))",-0.0943935449425792,0.20970703941717,-0.45012101265138,0.652623186304578,""
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_HOUSING_AMEN_PC))",-0.0676690296012397,0.0589501753462118,-1.14790209195855,0.251008984512427,""
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.0732464642423349,0.0614608644496933,1.19175779413725,0.233356229324545,""
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_OTHER_PC))",-0.0628637128994147,0.131878978845683,-0.476677279803432,0.633591944025919,""
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_TRANSPORT_PC))",0.0756281220606662,0.0974293053286484,0.776235874879303,0.43760972754807,""
"I(log(GVT_HEALTH_PC) * log(GVT_HOUSING_AMEN_PC))",0.0818469496614156,0.390314778605779,0.209694723714476,0.833905943850549,""
"I(log(GVT_HEALTH_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.0643614810134694,0.347591806565458,0.185163976243925,0.853100423262231,""
"I(log(GVT_HEALTH_PC) * log(GVT_OTHER_PC))",0.335710382141063,0.361532024473839,0.928577164442468,0.35310826075787,""
"I(log(GVT_HEALTH_PC) * log(GVT_TRANSPORT_PC))",0.632240322704189,0.505324962213927,1.25115592931373,0.210877593480288,""
"I(log(GVT_HOUSING_AMEN_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.0208856373457265,0.0780175543113247,0.267704333083598,0.788926914201574,""
"I(log(GVT_HOUSING_AMEN_PC) * log(GVT_OTHER_PC))",0.123492955855776,0.305339382418648,0.404444899565742,0.68588558863249,""
"I(log(GVT_HOUSING_AMEN_PC) * log(GVT_TRANSPORT_PC))",-0.0754293072940056,0.131258651747962,-0.574661603555414,0.565520180128068,""
"I(log(GVT_SOCIAL_PROTECTION_PC) * log(GVT_OTHER_PC))",-0.165648922212392,0.214392270726534,-0.772644096034994,0.439733040041722,""
"I(log(GVT_SOCIAL_PROTECTION_PC) * log(GVT_TRANSPORT_PC))",0.0103973150982285,0.160420629991613,0.0648128304867777,0.948323025679706,""
"I(log(GVT_OTHER_PC) * log(GVT_TRANSPORT_PC))",0.188603851980222,0.206786525928442,0.912070315671763,0.361731703446374,""
"log(CV_GDP)",-0.0797373296877644,0.0525610970597426,-1.51704081817646,0.129256378707825,""
"Z_CV_CC",0.0113913528598018,0.0120870013620028,0.942446560452303,0.345964058809767,""
"Z_CV_GE",0.00781950561422418,0.0105909141232985,0.738322067688417,0.46031875957027,""
"Z_factor(Country_name)Afghanistan",0.182855005097348,0.549154314414295,0.33297563234548,0.739152677160494,""
"Z_factor(Country_name)Azerbaijan",-0.14912949486502,0.707291867452635,-0.210845764991079,0.833007625895041,""
"Z_factor(Country_name)Belize",-0.977307691653415,0.468589559557918,-2.08563693261847,0.0370115232301208,"*"
"Z_factor(Country_name)Bolivia (Plurinational State of)",-0.28320038531516,0.546684860204268,-0.518032244773238,0.604435772054246,""
"Z_factor(Country_name)China",-0.824190844803503,0.354647571052691,-2.32397149191542,0.0201270220131396,"*"
"Z_factor(Country_name)Costa Rica",-1.23543753438041,0.429299647681369,-2.87779768991883,0.00400461870345477,"**"
"Z_factor(Country_name)Ecuador",-0.810026198930006,0.292460842090781,-2.76969112561938,0.00561094739220195,"**"
"Z_factor(Country_name)Egypt",-0.911723404601956,0.258107536725725,-3.53233933486719,0.000411900433913676,"***"
"Z_factor(Country_name)El Salvador",-0.579903484940305,0.414225239846942,-1.39997139033484,0.161521885944434,""
"Z_factor(Country_name)Guatemala",-0.3061589444584,0.413313311642156,-0.740743004966339,0.458849278800316,""
"Z_factor(Country_name)Honduras",-0.672016530940812,0.227879058887898,-2.94900520574557,0.00318798606027243,"**"
"Z_factor(Country_name)Jamaica",-0.861398296636817,0.325091893492141,-2.64970709476532,0.00805615811141748,"**"
"Z_factor(Country_name)Kuwait",-1.1033438084363,0.292189151202366,-3.77612859305697,0.000159284779474686,"***"
"Z_factor(Country_name)Kyrgyzstan",-1.04749172286761,0.508893833114721,-2.05836984986901,0.0395546436747121,"*"
"Z_factor(Country_name)Mexico",-0.608844237597742,0.482778266368093,-1.26112602826559,0.20726344429762,""
"Z_factor(Country_name)Myanmar",-0.367879828644441,0.336876266860044,-1.0920324903662,0.274818820571694,""
"Z_factor(Country_name)Nepal",0.0277743829320022,0.245961130956932,0.112921837787718,0.910092523013159,""
"Z_factor(Country_name)Panama",-0.820421635400208,0.541800533970851,-1.51425032638367,0.129962361911895,""
"Z_factor(Country_name)Singapore",-1.96250725430561,0.467421641079556,-4.19858021501317,2.68593709646989e-05,"***"
"Z_factor(Country_name)South Africa",0.445686216393329,0.322525581413824,1.38186315156651,0.167013724026465,""
"Z_factor(Country_name)Thailand",-0.863562477234662,0.362678217106168,-2.38107070263299,0.017262398380256,"*"
"Z_factor(Country_name)Türkiye",-0.579362027205306,0.447840984612991,-1.29367799534018,0.195776669146953,""
"Z_factor(Country_name)Uruguay",-1.41432833943199,0.478604524300368,-2.95510858678046,0.00312559020653127,"**"
"sigmaSq",0.060006803836741,0.00551407524720586,10.88247823008,1.39712040630288e-27,"***"
"gamma",0.999747881036944,0.00887467336753266,112.651794565696,0,"***"
